date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:41	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Jul%202025%2009:03:40%20GMT	https://code.themepitcher.com/robots.txt		(from )
16:03:41	55949/55949	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2016:15:14%20GMT	https://code.themepitcher.com/nogor/	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/index.html	(from )
16:03:41	1763/1763	---M--	200	added ('OK')	image/png	date:Tue,%2013%20May%202025%2014:06:22%20GMT	https://code.themepitcher.com/nogor/assets/images/favicon.png	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/assets/images/favicon.png	(from https://code.themepitcher.com/nogor/)
16:03:42	77757/77757	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Dec%202023%2018:50:12%20GMT	https://code.themepitcher.com/nogor/assets/css/animate.css	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/assets/css/animate.css	(from https://code.themepitcher.com/nogor/)
16:03:42	155845/155845	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Dec%202023%2018:50:12%20GMT	https://code.themepitcher.com/nogor/assets/css/bootstrap.min.css	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/assets/css/bootstrap.min.css	(from https://code.themepitcher.com/nogor/)
16:03:42	7648/7648	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Dec%202023%2018:50:12%20GMT	https://code.themepitcher.com/nogor/assets/css/magnific-popup.css	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/assets/css/magnific-popup.css	(from https://code.themepitcher.com/nogor/)
16:03:43	3185/3185	---M-Z	200	added ('OK')	text/css	date:Thu,%2015%20May%202025%2008:33:40%20GMT	https://code.themepitcher.com/nogor/assets/css/meanmenu.css	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/assets/css/meanmenu.css	(from https://code.themepitcher.com/nogor/)
16:03:43	140967/140967	---M-Z	200	added ('OK')	text/css	date:Tue,%2013%20May%202025%2008:57:24%20GMT	https://code.themepitcher.com/nogor/assets/css/remixicon.css	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/assets/css/remixicon.css	(from https://code.themepitcher.com/nogor/)
16:03:43	1776/1776	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Dec%202023%2018:50:12%20GMT	https://code.themepitcher.com/nogor/assets/css/slick.css	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/assets/css/slick.css	(from https://code.themepitcher.com/nogor/)
16:03:44	72870/72870	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Jul%202025%2016:43:44%20GMT	https://code.themepitcher.com/nogor/assets/css/style.css	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/assets/css/style.css	(from https://code.themepitcher.com/nogor/)
16:03:44	55949/55949	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2016:15:14%20GMT	https://code.themepitcher.com/nogor/index.html	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/index-2.html	(from https://code.themepitcher.com/nogor/)
16:03:44	4971/4971	---M--	200	added ('OK')	image/png	date:Tue,%2013%20May%202025%2014:07:16%20GMT	https://code.themepitcher.com/nogor/assets/images/logo.png	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/assets/images/logo.png	(from https://code.themepitcher.com/nogor/)
16:03:44	47027/47027	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2016:15:14%20GMT	https://code.themepitcher.com/nogor/home-2.html	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/home-2.html	(from https://code.themepitcher.com/nogor/)
16:03:45	30475/30475	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2016:15:14%20GMT	https://code.themepitcher.com/nogor/service.html	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/service.html	(from https://code.themepitcher.com/nogor/)
16:03:45	20078/20078	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2016:15:14%20GMT	https://code.themepitcher.com/nogor/service-details.html	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/service-details.html	(from https://code.themepitcher.com/nogor/)
16:03:45	17610/17610	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2016:15:14%20GMT	https://code.themepitcher.com/nogor/project.html	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/project.html	(from https://code.themepitcher.com/nogor/)
16:03:46	18098/18098	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2016:15:14%20GMT	https://code.themepitcher.com/nogor/project-details.html	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/project-details.html	(from https://code.themepitcher.com/nogor/)
16:03:46	24730/24730	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2016:15:14%20GMT	https://code.themepitcher.com/nogor/blog.html	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/blog.html	(from https://code.themepitcher.com/nogor/)
16:03:46	26046/26046	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2016:15:14%20GMT	https://code.themepitcher.com/nogor/blog-details.html	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/blog-details.html	(from https://code.themepitcher.com/nogor/)
16:03:46	31655/31655	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2016:15:14%20GMT	https://code.themepitcher.com/nogor/about.html	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/about.html	(from https://code.themepitcher.com/nogor/)
16:03:47	21058/21058	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2016:27:32%20GMT	https://code.themepitcher.com/nogor/team.html	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/team.html	(from https://code.themepitcher.com/nogor/)
16:03:47	19821/19821	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2016:15:14%20GMT	https://code.themepitcher.com/nogor/team-details.html	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/team-details.html	(from https://code.themepitcher.com/nogor/)
16:03:47	25467/25467	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2016:15:14%20GMT	https://code.themepitcher.com/nogor/pricing.html	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/pricing.html	(from https://code.themepitcher.com/nogor/)
16:03:47	19554/19554	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2016:15:14%20GMT	https://code.themepitcher.com/nogor/contact.html	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/contact.html	(from https://code.themepitcher.com/nogor/)
16:03:48	14451/14451	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2016:15:14%20GMT	https://code.themepitcher.com/nogor/404.html	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/404.html	(from https://code.themepitcher.com/nogor/)
16:03:48	3715/3715	---M--	200	added ('OK')	image/png	date:Wed,%2014%20May%202025%2008:11:08%20GMT	https://code.themepitcher.com/nogor/assets/images/icon-1.png	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/assets/images/icon-1.png	(from https://code.themepitcher.com/nogor/)
16:03:49	1548969/1548969	---M--	200	added ('OK')	image/png	date:Wed,%2014%20May%202025%2007:53:24%20GMT	https://code.themepitcher.com/nogor/assets/images/hero-bg.png	D:/Code/git/CloneWeb/nogor/code.themepitcher.com/nogor/assets/images/hero-bg.png	(from https://code.themepitcher.com/nogor/)
